"y","mean_gray","position..mm.","facies_class","facies_prob"
532,0.125168756027001,25.1409163173869,2,4.75090213900667e-11
533,0.147798135647702,25.1878884231826,2,4.20929849987506e-16
534,0.158919961427194,25.2348605289782,2,6.26905238537596e-19
535,0.166505946640951,25.2818326347738,2,5.42654510913937e-21
536,0.173191899710704,25.3288047405695,2,6.65972638645601e-23
537,0.177242044358727,25.3757768463651,2,4.19207278766466e-24
538,0.176406300225008,25.4227489521607,2,7.46391916627132e-24
539,0.172420443587271,25.4697210579564,2,1.1181241103008e-22
540,0.169463195114111,25.516693163752,2,7.94590311440461e-22
541,0.169334619093539,25.5636652695476,2,8.64526886120541e-22
542,0.167791706846673,25.6106373753433,2,2.36515685446404e-21
543,0.172484731597557,25.6576094811389,2,1.07098309780097e-22
544,0.181677917068467,25.7045815869345,2,1.85746783407754e-25
545,0.18720668595307,25.7515536927302,2,3.35530598996628e-27
546,0.194985535197686,25.7985257985258,2,9.27921065535356e-30
547,0.195692703310833,25.8454979043214,2,5.35639569269888e-30
548,0.193378334940534,25.8924700101171,2,3.20721689005669e-29
549,0.193249758919961,25.9394421159127,2,3.53991266938339e-29
550,0.186756669881067,25.9864142217084,2,4.67688427072006e-27
551,0.183092253294761,26.033386327504,2,6.74431672143095e-26
552,0.188363870138219,26.0803584332996,2,1.42222587087128e-27
553,0.183092253294761,26.1273305390953,2,6.74431672143095e-26
554,0.182063645130183,26.1743026448909,2,1.41036335247005e-25
555,0.180327868852459,26.2212747506865,2,4.84280393898225e-25
556,0.178720668595307,26.2682468564822,2,1.49866286169334e-24
557,0.178527804564449,26.3152189622778,2,1.71484123639624e-24
558,0.179877852780456,26.3621910680734,2,6.65267993181613e-25
559,0.180649308903889,26.4091631738691,2,3.85784269616682e-25
560,0.179620700739312,26.4561352796647,2,7.97280941715595e-25
561,0.170813243330119,26.5031073854603,2,3.26211227188197e-22
562,0.172484731597557,26.550079491256,2,1.07098309780097e-22
563,0.170106075216972,26.5970515970516,2,5.20567395590503e-22
564,0.166184506589521,26.6440237028472,2,6.67089348054941e-21
565,0.162520090003214,26.6909958086429,2,6.79395716490951e-20
566,0.156798457087753,26.7379679144385,2,2.26127695854466e-18
567,0.151719704275153,26.7849400202342,2,4.50544856846971e-17
568,0.150433944069431,26.8319121260298,2,9.44195378555989e-17
569,0.143812279009965,26.8788842318254,2,3.81566441017316e-15
570,0.135711989713918,26.9258563376211,2,2.7412200196497e-13
571,0.131533269045323,26.9728284434167,2,2.23455869252397e-12
572,0.129476052716168,27.0198005492123,2,6.11311173095219e-12
