"y","mean_gray","position..mm.","facies_class","facies_prob","facies_class_cleaned"
532,0.123337178008458,25.1409163173869,1,0.979154964816238,2
533,0.148096885813149,25.1878884231826,1,0.869913491212416,2
534,0.161783929257978,25.2348605289782,1,0.724130093842653,2
535,0.170088427527874,25.2818326347738,1,0.609946123348512,2
536,0.17839292579777,25.3288047405695,2,0.491618062440752,1
537,0.181007304882737,25.3757768463651,2,0.455838291137534,1
538,0.17839292579777,25.4227489521607,2,0.491618062440752,1
539,0.175317185697809,25.4697210579564,1,0.534973193625126,2
540,0.17277970011534,25.516693163752,1,0.571320495729988,2
541,0.170857362552864,25.5636652695476,1,0.598931646165625,2
542,0.170626682045367,25.6106373753433,1,0.602238996335604,2
543,0.178700499807766,25.6576094811389,2,0.487349093068228,2
544,0.188850442137639,25.7045815869345,2,0.357636580375822,2
545,0.191926182237601,25.7515536927302,2,0.323714660272764,2
546,0.198231449442522,25.7985257985258,2,0.262981883377895,2
547,0.198692810457516,25.8454979043214,2,0.258998973937927,2
548,0.194925028835063,25.8924700101171,2,0.293352087974879,2
549,0.192156862745098,25.9394421159127,2,0.321283448680141,2
550,0.185236447520185,25.9864142217084,2,0.400944570197408,2
551,0.182314494425221,26.033386327504,2,0.438436633416288,2
552,0.187312572087659,26.0803584332996,2,0.375625370194286,2
553,0.181853133410227,26.1273305390953,2,0.444537283688884,2
554,0.18077662437524,26.1743026448909,2,0.458945486973316,2
555,0.179008073817762,26.2212747506865,2,0.48309475880062,2
556,0.177393310265283,26.2682468564822,1,0.505585854306219,2
557,0.177777777777778,26.3152189622778,1,0.500197461428269,2
558,0.179853902345252,26.3621910680734,2,0.471475624204721,1
559,0.18077662437524,26.4091631738691,2,0.458945486973316,1
560,0.179853902345252,26.4561352796647,2,0.471475624204721,1
561,0.169857747020377,26.5031073854603,1,0.61324407802351,1
562,0.171933871587851,26.550079491256,1,0.583475020621499,1
563,0.169319492502884,26.5970515970516,1,0.620924953375968,1
564,0.165244136870434,26.6440237028472,1,0.678020347262303,1
565,0.162783544790465,26.6909958086429,1,0.711097102178233,1
566,0.158169934640523,26.7379679144385,1,0.76889973565614,1
567,0.153248750480584,26.7849400202342,1,0.822925438471685,1
568,0.151710880430604,26.8319121260298,1,0.837999326428823,1
569,0.143790849673203,26.8788842318254,1,0.901621619359229,1
570,0.135640138408304,26.9258563376211,1,0.944770771496303,1
571,0.131949250288351,26.9728284434167,1,0.958268921571343,1
572,0.13041138023837,27.0198005492123,1,0.962985879746013,1
573,0.126336024605921,27.066772655008,1,0.973294132771651,1
574,0.124951941560938,27.1137447608036,1,0.976161430143632,1
575,0.131334102268358,27.1607168665992,1,0.960215159665191,1
576,0.138254517493272,27.2076889723949,1,0.933102679210484,1
577,0.141484044598231,27.2546610781905,1,0.915934590998508,1
578,0.143483275663206,27.3016331839861,1,0.903633990570361,1
579,0.143329488658208,27.3486052897818,1,0.904627981706165,1
580,0.140868896578239,27.3955773955774,1,0.919454867404197,1
581,0.140868896578239,27.442549501373,1,0.919454867404197,1
582,0.146174548250673,27.4895216071687,1,0.884898527224106,1
583,0.154555940023068,27.5364937129643,1,0.809420280925564,1
584,0.159784698193003,27.58346581876,1,0.749380556298251,1
585,0.167012687427912,27.6304379245556,1,0.653524427012453,1
586,0.169319492502884,27.6774100303512,1,0.620924953375968,1
587,0.168242983467897,27.7243821361469,1,0.636211920956932,1
588,0.16239907727797,27.7713542419425,1,0.716139907284334,1
589,0.154786620530565,27.8183263477381,1,0.806971904184117,1
590,0.150249903883122,27.8652984535338,1,0.851494223247718,1
591,0.148481353325644,27.9122705593294,1,0.866752044894774,1
592,0.147866205305652,27.959242665125,1,0.871783874517859,1
593,0.153325643983083,28.0062147709207,1,0.82214851589082,1
594,0.155555555555556,28.0531868767163,1,0.798671606789068,1
595,0.162091503267974,28.1001589825119,1,0.720147274339578,1
596,0.170626682045367,28.1471310883076,1,0.602238996335604,1
597,0.172395232602845,28.1941031941032,1,0.576845152280833,1
598,0.169011918492887,28.2410752998988,1,0.625303735673632,1
599,0.169934640522876,28.2880474056945,1,0.612145136894634,1
600,0.174086889657824,28.3350195114901,1,0.552559298153595,1
