"y","mean_gray","position..mm.","facies_class","facies_prob"
6777,0.233986928104575,318.481717011129,2,0.0906003477208262
6778,0.226143790849673,318.528689116924,2,0.111688319395704
6779,0.202054154995331,318.57566122272,2,0.242430775067516
6780,0.160597572362278,318.622633328516,1,0.776168503205118
6781,0.112978524743231,318.669605434311,1,0.994462045571752
6782,0.0662931839402428,318.716577540107,1,0.999966908715336
6783,0.0394024276377218,318.763549645903,1,0.999999017314545
6784,0.0401493930905696,318.810521751698,1,0.999998910419742
6785,0.0309990662931839,318.857493857494,1,0.99999969912567
6786,0.034733893557423,318.90446596329,1,0.999999488314811
6787,0.042203548085901,318.951438069085,1,0.999998554995285
6788,0.0586367880485528,318.998410174881,1,0.999987320350182
6789,0.0741363211951447,319.045382280676,1,0.999914610033835
6790,0.0810457516339869,319.092354386472,1,0.999808823410028
6791,0.0971055088702148,319.139326492268,1,0.998880520909391
6792,0.122128851540616,319.186298598063,1,0.987025372284135
6793,0.144724556489262,319.233270703859,1,0.917996296811106
6794,0.162278244631186,319.280242809655,1,0.755433209822315
6795,0.181139122315593,319.32721491545,2,0.485057964741307
6796,0.191036414565826,319.374187021246,2,0.353936275460099
6797,0.199439775910364,319.421159127042,2,0.265398509488494
6798,0.208776844070962,319.468131232837,2,0.192567205672308
6799,0.21344537815126,319.515103338633,2,0.164871152266111
6800,0.213258636788049,319.562075444428,2,0.165881719716436
6801,0.207469654528478,319.609047550224,2,0.201287908598699
6802,0.202054154995331,319.65601965602,2,0.242430775067516
6803,0.195518207282913,319.702991761815,2,0.303892654012295
6804,0.187301587301587,319.749963867611,2,0.4003948070421
6805,0.175723622782446,319.796935973407,1,0.564742895716371
6806,0.150513538748833,319.843908079202,1,0.877756906101978
6807,0.110177404295051,319.890880184998,1,0.99577729696863
6808,0.076750700280112,319.937852290794,1,0.999883789608793
6809,0.0442577030812325,319.984824396589,1,0.999998088238392
6810,0.0278244631185808,320.031796502385,1,0.999999809610686
6811,0.0160597572362278,320.07876860818,1,0.999999966783685
6812,0.0164332399626517,320.125740713976,1,0.999999964847901
6813,0.0267040149393091,320.172712819772,1,0.999999838228533
6814,0.0373482726423903,320.219684925567,1,0.999999261451987
6815,0.0407096171802054,320.266657031363,1,0.999998822930737
6816,0.0446311858076564,320.313629137159,1,0.99999798894461
6817,0.0662931839402428,320.360601242954,1,0.999966908715336
6818,0.0985994397759104,320.40757334875,1,0.998690441546842
6819,0.137441643323996,320.454545454545,1,0.952630863635228
6820,0.163398692810458,320.501517560341,1,0.741078721450497
6821,0.180018674136321,320.548489666137,1,0.501273392166534
6822,0.19421101774043,320.595461771932,2,0.317823809990469
6823,0.208776844070962,320.642433877728,2,0.192567205672308
6824,0.21531279178338,320.689405983524,2,0.155179347264031
6825,0.223342670401494,320.736378089319,2,0.121106628802261
6826,0.228758169934641,320.783350195115,2,0.103857269682856
6827,0.235107376283847,320.830322300911,2,0.0881282061887762
6828,0.239402427637722,320.877294406706,2,0.0796927656935443
6829,0.237721755368814,320.924266512502,2,0.0828067686189533
6830,0.233053221288515,320.971238618297,2,0.0927540110207671
6831,0.228571428571429,321.018210724093,2,0.104388045500096
6832,0.225770308123249,321.065182829889,2,0.112880154543459
6833,0.217927170868347,321.112154935684,2,0.142806899405829
6834,0.218487394957983,321.15912704148,2,0.140326286856319
6835,0.221101774042951,321.206099147276,2,0.129490134732027
6836,0.224463118580766,321.253071253071,2,0.117204146358958
6837,0.223342670401494,321.300043358867,2,0.121106628802261
6838,0.217740429505135,321.347015464663,2,0.143646748792943
6839,0.217366946778711,321.393987570458,2,0.145346191935765
6840,0.22203548085901,321.440959676254,2,0.125900204283439
6841,0.227450980392157,321.487931782049,2,0.107663393130229
6842,0.231372549019608,321.534903887845,2,0.0968562187234259
6843,0.235667600373483,321.581875993641,2,0.0869364380058407
6844,0.24014939309057,321.628848099436,2,0.0783807472316627
6845,0.242763772175537,321.675820205232,2,0.0741148119407274
6846,0.24593837535014,321.722792311028,2,0.0695608411636697
6847,0.250046685340803,321.769764416823,2,0.0645653255353067
6848,0.253034547152194,321.816736522619,2,0.0614922932207577
6849,0.242950513538749,321.863708628415,2,0.0738286200751152
6850,0.244631185807656,321.91068073421,2,0.0713576273206705
6851,0.233239962651727,321.957652840006,2,0.0923162991208456
6852,0.217927170868347,322.004624945801,2,0.142806899405829
6853,0.204855275443511,322.051597051597,2,0.220107688041618
6854,0.19421101774043,322.098569157393,2,0.317823809990469
6855,0.188235294117647,322.145541263188,2,0.388396690373055
6856,0.191036414565826,322.192513368984,2,0.353936275460099
6857,0.197385620915033,322.23948547478,2,0.284947617849231
6858,0.217366946778711,322.286457580575,2,0.145346191935765
6859,0.237721755368814,322.333429686371,2,0.0828067686189533
6860,0.24780578898226,322.380401792167,2,0.0671724444130685
6861,0.256956115779645,322.427373897962,2,0.0580876423875937
6862,0.267413632119514,322.474346003758,2,0.0519261081515131
6863,0.271521942110177,322.521318109553,2,0.0504908430828437
6864,0.270401493930906,322.568290215349,2,0.0508324142294561
6865,0.272455648926237,322.615262321145,2,0.0502339593052279
6866,0.271335200746965,322.66223442694,2,0.050545233233116
6867,0.270588235294118,322.709206532736,2,0.0507729369631396
6868,0.271148459383753,322.756178638532,2,0.050600634643001
6869,0.272455648926237,322.803150744327,2,0.0502339593052279
6870,0.270401493930906,322.850122850123,2,0.0508324142294561
6871,0.265546218487395,322.897094955919,2,0.0527500130773952
6872,0.262371615312792,322.944067061714,2,0.054413504218877
6873,0.254341736694678,322.99103916751,2,0.0602819326639094
6874,0.237908496732026,323.038011273305,2,0.0824493552197191
6875,0.226143790849673,323.084983379101,2,0.111688319395704
6876,0.225583566760037,323.131955484897,2,0.11348322704371
6877,0.227824463118581,323.178927590692,2,0.106554113747048
6878,0.234360410830999,323.225899696488,2,0.0897629373046852
6879,0.247619047619048,323.272871802284,2,0.0674021889314587
6880,0.261437908496732,323.319843908079,2,0.0549689187600841
6881,0.266666666666667,323.366816013875,2,0.0522423777870174
6882,0.274883286647993,323.413788119671,2,0.0496816316513379
6883,0.280298786181139,323.460760225466,2,0.0490320824851857
6884,0.279925303454715,323.507732331262,2,0.0490515557520857
6885,0.275070028011205,323.554704437057,2,0.0496459546721056
6886,0.26797385620915,323.601676542853,2,0.0517003356674037
6887,0.259383753501401,323.648648648649,2,0.0563026314610174
