%       Frequency   Period/Wavelength   Periodogram      Bayes Prob
  0.000624997656  1600.006000000000  0.599778179894  0.000045586731
  0.001249995313  800.003000000000  6.077803703754  0.011054381838
  0.001874992969  533.335333333333  1.974397628939  0.000180392383
  0.002499990625  400.001500000000  4.972942348235  0.003644941591
  0.003124988281  320.001200000000  5.115487123290  0.004205631588
  0.003749985938  266.667666666667  0.280700203845  0.000033133821
  0.004374983594  228.572285714286  4.741009972976  0.002888007053
  0.004999981250  200.000750000000  0.544554363853  0.000043137365
  0.005624978906  177.778444444444  1.724838867885  0.000140512425
  0.006249976563  160.000600000000  0.762006881029  0.000053617191
  0.006874974219  145.455090909091  0.140318611185  0.000028795141
  0.007499971875  133.333833333333  2.732747698791  0.000385542839
  0.008124969531  123.077384615385  1.788885886440  0.000149816286
  0.008749967188  114.286142857143  0.863285147314  0.000059333512
  0.009374964844  106.667066666667  0.194452984767  0.000030396458
  0.009999962500  100.000375000000  0.901297450667  0.000061633074
  0.010624960156  94.118000000000  0.042759847157  0.000026119468
  0.011249957813  88.889222222222  0.488281787723  0.000040776920
  0.011874955469  84.210842105263  1.411263958408  0.000102662092
  0.012499953125  80.000300000000  3.649699280654  0.000966475134
  0.013124950781  76.190761904762  0.543421040976  0.000043088503
  0.013749948438  72.727545454545  1.836990918328  0.000157207606
  0.014374946094  69.565478260870  0.907694522177  0.000062028742
  0.014999943750  66.666916666667  0.000983323897  0.000025051181
  0.015624941406  64.000240000000  0.008450530091  0.000025238866
  0.016249939063  61.538692307692  1.746138054974  0.000143540461
  0.016874936719  59.259481481481  0.412355405057  0.000037795611
  0.017499934375  57.143071428571  0.191806329501  0.000030316136
  0.018124932032  55.172620689655  0.237941526009  0.000031747195
  0.018749929688  53.333533333333  0.586123817912  0.000044968456
  0.019374927344  51.613096774194  0.420582329910  0.000038107813
  0.019999925000  50.000187500000  0.145598251931  0.000028947525
  0.020624922657  48.485030303030  0.397036394654  0.000037221077
  0.021249920313  47.059000000000  0.520194258261  0.000042099203
  0.021874917969  45.714457142857  0.952765461554  0.000064889439
  0.022499915625  44.444611111111  0.063471604544  0.000026665884
  0.023124913282  43.243405405405  0.270039329987  0.000032782526
  0.023749910938  42.105421052632  0.088641260833  0.000027345331
  0.024374908594  41.025794871795  0.330889455630  0.000034838939
  0.024999906250  40.000150000000  0.026644493503  0.000025702076
  0.025624903907  39.024536585366  0.813268349425  0.000056438042
  0.026249901563  38.095380952381  0.142455586057  0.000028856722
  0.026874899219  37.209441860465  0.255531062817  0.000032310435
  0.027499896875  36.363772727273  0.095174056212  0.000027524497
  0.028124894532  35.555688888889  0.119924368941  0.000028214010
  0.028749892188  34.782739130435  0.508027153604  0.000041590075
  0.029374889844  34.042680851064  0.248470838516  0.000032083166
  0.029999887500  33.333458333333  0.881633992619  0.000060432606
  0.030624885157  32.653183673469  0.316092053506  0.000034327283
  0.031249882813  32.000120000000  0.348209108015  0.000035447511
  0.031874880469  31.372666666667  0.113733795411  0.000028039944
  0.032499878125  30.769346153846  0.291905188933  0.000033507106
  0.033124875782  30.188792452830  0.097686357464  0.000027593710
  0.033749873438  29.629740740741  0.323313136913  0.000034576023
  0.034374871094  29.091018181818  0.006173551938  0.000025181486
  0.034999868750  28.571535714286  0.861053795323  0.000059201226
  0.035624866407  28.070280701754  0.273567329699  0.000032898365
  0.036249864063  27.586310344828  0.063140763110  0.000026657067
  0.036874861719  27.118745762712  0.000176413649  0.000025030983
  0.037499859376  26.666766666667  0.027178554876  0.000025715801
  0.038124857032  26.229606557377  0.477677366407  0.000040346795
  0.038749854688  25.806548387097  0.005001176925  0.000025151994
  0.039374852344  25.396920634921  0.720571192464  0.000051440498
  0.039999850001  25.000093750000  0.263249970485  0.000032560751
  0.040624847657  24.615476923077  0.642623368156  0.000047582554
  0.041249845313  24.242515151515  0.122802704774  0.000028295311
  0.041874842969  23.880686567164  0.271924625691  0.000032844378
  0.042499840626  23.529500000000  0.453430878491  0.000039380318
  0.043124838282  23.188492753623  0.465839055162  0.000039871984
  0.043749835938  22.857228571429  0.394681213918  0.000037133525
  0.044374833594  22.535295774648  0.014465266611  0.000025391067
  0.044999831251  22.222305555556  0.393090999742  0.000037074527
  0.045624828907  21.917890410959  0.255039043031  0.000032294544
  0.046249826563  21.621702702703  0.077816109455  0.000027051012
  0.046874824219  21.333413333333  0.257138717181  0.000032362410
  0.047499821876  21.052710526316  0.340933704286  0.000035190585
  0.048124819532  20.779298701299  0.028108632716  0.000025739721
  0.048749817188  20.512897435897  0.437831991725  0.000038770823
  0.049374814844  20.253240506329  0.425422480682  0.000038292696
  0.049999812501  20.000075000000  1.035120090899  0.000070461980
  0.050624810157  19.753160493827  0.127388809890  0.000028425333
  0.051249807813  19.512268292683  0.010770740002  0.000025297469
  0.051874805469  19.277180722892  0.417104360455  0.000037975514
