%Data filename = Scores_age_AC_500-c1-c3
%Multiplication factor for 99.99% Chi2 CL = 3.97845
%Multiplication factor for  99.9% Chi2 CL = 3.26556
%Multiplication factor for   99% Chi2 CL = 2.51128
%Multiplication factor for   95% Chi2 CL = 1.93841
%Multiplication factor for   90% Chi2 CL = 1.67020
%     Frequency       Real_Power   SWA_background        90%Chi2CL        95%Chi2CL        99%Chi2CL      99.9%Chi2CL     99.99%Chi2CL
      0.0768747        2.0460209        1.9200412        3.2068446        3.7218344        4.8217604        6.2700100        7.6387948
      0.0774997        2.8637509        1.8978576        3.1697937        3.6788335        4.7660513        6.1975683        7.5505385
      0.0781247        3.9446412        1.8761428        3.1335257        3.6367412        4.7115194        6.1266573        7.4641472
      0.0787497        4.8060075        1.8548939        3.0980359        3.5955520        4.6581574        6.0572676        7.3796093
      0.0793747        5.0215728        1.8341078        3.0633190        3.5552600        4.6059577        5.9893894        7.2969128
      0.0799997        4.7062607        1.8137814        3.0293699        3.5158589        4.5549122        5.9230121        7.2160449
      0.0806247        4.2694967        1.7939111        2.9961827        3.4773422        4.5050126        5.8581247        7.1369922
      0.0812497        3.7563783        1.7744936        2.9637516        3.4397029        4.4562497        5.7947155        7.0597404
      0.0818747        2.9513506        1.7555250        2.9320703        3.4029339        4.4086141        5.7327723        6.9842746
      0.0824997        1.9379244        1.7370013        2.9011321        3.3670273        4.3620960        5.6722822        6.9105790
      0.0831247        1.0735510        1.7189184        2.8709302        3.3319752        4.3166848        5.6132314        6.8386371
      0.0837497        0.5893566        1.7012719        2.8414571        3.2977691        4.2723696        5.5556059        6.7684315
      0.0843747        0.5027647        1.6840573        2.8127053        3.2644000        4.2291389        5.4993904        6.6999438
      0.0849997        0.7540248        1.6672697        2.7846667        3.2318587        4.1869805        5.4445695        6.6331551
      0.0856247        1.1241126        1.6509041        2.7573330        3.2001354        4.1458819        5.3911267        6.5680454
      0.0862497        1.2383558        1.6349553        2.7306953        3.1692199        4.1058299        5.3390448        6.5045937
      0.0868747        0.9925615        1.6194178        2.7047446        3.1391018        4.0668109        5.2883061        6.4427784
      0.0874997        0.6955662        1.6042859        2.6794714        3.1097700        4.0288105        5.2388920        6.3825769
      0.0881247        0.6284945        1.5895538        2.6548659        3.0812130        3.9918140        5.1907834        6.3239658
