depth	min	max	median	mean
20.1	1815.4	1913.3	1874.6	1871.6
20.2	1814.5	1912.8	1873.8	1870.7
20.3	1812.9	1912.1	1872.8	1869.9
20.4	1812.1	1911.4	1871.9	1869
20.5	1811.1	1910.7	1871	1868.1
20.6	1810.2	1910	1870	1867.3
20.7	1808.2	1909.2	1869	1866.4
20.8	1807.5	1908.5	1868.2	1865.5
20.9	1806.6	1907.8	1867.7	1864.7
21	1805.1	1907.2	1866.6	1863.8
21.1	1804.1	1906.5	1865.8	1862.9
21.2	1802.9	1906	1864.9	1862.1
21.3	1802.3	1905.2	1864.2	1861.2
21.4	1801.3	1904.7	1863.3	1860.4
21.5	1800	1904	1862.4	1859.5
21.6	1798.8	1903.1	1861.5	1858.6
21.7	1797.3	1902.5	1860.8	1857.8
21.8	1795.6	1902	1859.9	1856.9
21.9	1793.7	1901.3	1859.1	1856.1
22	1792	1900.5	1858.4	1855.2
22.1	1790.7	1899.7	1857.6	1854.4
22.2	1789.4	1899.1	1856.7	1853.5
22.3	1788.5	1898.5	1856	1852.7
22.4	1787.4	1897.9	1855.2	1851.8
22.5	1786.6	1897.1	1854.5	1851
22.6	1785.3	1896.6	1853.8	1850.1
22.7	1784.4	1896	1853.1	1849.3
22.8	1783.3	1895.5	1852.3	1848.5
22.9	1782.6	1895	1851.3	1847.6
23	1781.7	1894.6	1850.5	1846.8
23.1	1780.4	1894.1	1849.7	1845.9
23.2	1779.1	1893.6	1848.9	1845.1
23.3	1778.4	1893.1	1848.3	1844.2
23.4	1777.6	1891.9	1847.5	1843.3
23.5	1776.9	1891.4	1846.7	1842.4
23.6	1776.3	1890.2	1845.8	1841.6
23.7	1775.6	1889.5	1844.9	1840.7
23.8	1774.4	1888.5	1844.1	1839.8
23.9	1773.2	1888	1843.3	1839
24	1771.9	1887.4	1842.4	1838.1
24.1	1771	1886.7	1841.6	1837.2
24.2	1769.3	1886.1	1840.7	1836.4
24.3	1768.7	1885.3	1839.9	1835.5
24.4	1767.2	1884.6	1839.1	1834.6
24.5	1766.3	1883.7	1838.3	1833.8
24.6	1765.3	1883.2	1837.5	1832.9
24.7	1763.8	1882.6	1836.7	1832
24.8	1762.1	1881.7	1835.8	1831.2
24.9	1761	1880.9	1835.1	1830.3
