"","position..mm.","Fe.x","Mn.x","S.x","Ti.x","Al.x","Si.x","K.x","Rb.x","Zr.x","Ca.x","Sr.x","P.x","Ba.x","mean_gray","RABD673","Moving.Average","TChl.ug.g","TNWt","TCWt","TSWt","Fe.y","Mn.y","S.y","Ti.y","Al.y","Si.y","K.y","Rb.y","Zr.y","Ca.y","Sr.y","P.y","Ba.y","Fe","Mn","S","Ti","Al","Si","K","Rb","Zr","Ca","Sr","P","Ba","facies_class","Cr.inc","Cr.coh","Mn_Fe","S_Ti","Fe_Ti","Si_Ti","Ba_Ti","Ca_Ti","Ti_Al","Si_Al","Zr_Rb","TCWt_TNWt","Cr.inc_Cr.coh"
"1",25.11,576559,6417,1673,160204,3383,24511,223119,7022,3313,47700,1400,428,5616,0.165384615384615,1.02791118514847,1.03052372390393,5.61100418941524,0.222368150949478,2.61070275306702,0.0844803154468536,3.90646395414573,-0.591663003275704,-1.9359953000394,2.62583428106748,-1.23185083224551,0.748508274337258,2.95709153937196,-0.501565644297841,-1.25275959872632,1.41431767585021,-2.11414148542287,-3.29924580544442,-0.724994055320572,0.543234292336611,0.00604610188016149,0.00157630176803961,0.150944320649742,0.00318746496191154,0.0230942813128625,0.210222877575152,0.00661613330255478,0.00312151091303959,0.0449429733027432,0.001319080977439,0.000403261898817067,0.00529139912092675,1,290132,434944,-4.49812695742144,-4.56182958110687,1.28062967307826,-1.87732600673022,-3.35082833638805,-1.21151660521726,3.85768511331299,1.98035910658277,-0.751193954428482,2.46304037216401,-0.404881295334584
"2",25.31,604506,6293,1826,178011,4313,30309,261648,6430,2900,53739,1141,593,6514,0.196991731499877,1.03349090062445,1.03229816470597,6.56979823559867,0.222368150949478,2.61070275306702,0.0844803154468536,3.87664057240398,-0.688333118615128,-1.92564324098715,2.65407432297557,-1.06613730549422,0.88367367495378,3.03922906583011,-0.666796484910397,-1.4630602861675,1.45636797174115,-2.39586595227999,-3.05033190314434,-0.653817316305883,0.521925397786091,0.00543332328921114,0.00157655304721112,0.153693200704873,0.00372380793681355,0.026168535765565,0.225904683295013,0.00555160793733158,0.00250383561714799,0.0463978007689365,0.000985129806608917,0.000511991214127159,0.00562413283106966,1,300029,447721,-4.56497369101911,-4.57971756396271,1.22256624942841,-1.77040064802179,-3.30789163928145,-1.19770635123442,3.72021162846979,1.949810980448,-0.7962638012571,2.46304037216401,-0.400291133906445
"3",25.51,487667,5484,1477,159722,3510,25456,230120,5617,3196,48358,1318,437,6176,0.190749977686826,1.03626774243668,1.03369559976419,7.04695865860175,0.222368150949478,2.61070275306702,0.0844803154468536,3.78029607580222,-0.707501958376497,-2.01932371652732,2.66409808395341,-1.15372068259879,0.827614751518866,3.02926419191853,-0.683539006526269,-1.24743669217254,1.46929494832185,-2.13322128399625,-3.23715880396311,-0.58866590735409,0.4983628637825,0.00560427903668534,0.0015093946274953,0.163225137909821,0.00358698384733143,0.0260143193212732,0.235167157535017,0.00574019608845032,0.00326609697323967,0.0494186224755707,0.00134690732500935,0.000446584598656363,0.00631145647895125,1,293750,414677,-4.48779803417871,-4.68342180048073,1.11619799184881,-1.83648333243454,-3.2527639913075,-1.19480313563155,3.8178187665522,1.98133543411766,-0.563897685646267,2.46304037216401,-0.344770838476306
"4",25.71,410076,5702,1114,137113,2632,18241,184251,5578,3560,41368,1519,366,5267,0.196323121274419,1.03665412364192,1.03484511521834,7.11335272488271,0.222368150949478,2.61070275306702,0.0844803154468536,3.73487123829165,-0.540654279591753,-2.17351412857714,2.6393341332891,-1.31372725661916,0.622200537622544,2.9348276883809,-0.562640980876936,-1.01171072521829,1.44103636501169,-1.8634190464686,-3.286593215663,-0.620010329580981,0.502059900561591,0.00698101218555144,0.00136388066901163,0.167868734443619,0.00322238233468456,0.0223326277230171,0.225580230831294,0.00682919782023955,0.00435854145572836,0.0506472311630817,0.00185972597507061,0.000448097239549601,0.00644843759756215,1,281171,382724,-4.2755255178834,-4.81284826186624,1.09553710500255,-2.01713359566656,-3.25934446287008,-1.19829776827742,3.95306138990827,1.93592779424171,-0.449069744341358,2.46304037216401,-0.308351077599544
"5",25.91,405232,6464,1100,135250,2379,16396,171099,5838,3615,40175,1360,365,4934,0.177912066840025,1.03304248164192,1.03555431047744,6.49274386741473,0.222368150949478,2.61070275306702,0.0844803154468536,3.74925936077335,-0.388952060610654,-2.15989020202512,2.65192453589714,-1.38852015050863,0.541837020812643,2.88704195451626,-0.490812109397525,-0.97010852621872,1.43804452979413,-1.94771568208149,-3.26305830722909,-0.659050363722283,0.510234737291411,0.00813893607082285,0.00138502934373532,0.170295653400184,0.00299544073522394,0.0206444919271676,0.215433759712518,0.00735072846247893,0.00455171007054836,0.0505850489859697,0.00171239991589095,0.000459577918603085,0.00621248616544553,1,271402,379152,-4.138211421384,-4.81181473792227,1.0973348248762,-2.1100875150845,-3.31097489961943,-1.21388000610301,4.04044468640577,1.93035717132127,-0.479296416821195,2.46304037216401,-0.334336063519799
"6",26.11,420946,4216,979,144742,2631,17306,183448,5905,3500,41523,1620,373,5098,0.157814647643091,1.03479781315721,1.03755165940466,6.7943724026289,0.222368150949478,2.61070275306702,0.0844803154468536,3.78516789797224,-0.818449850211037,-2.27856029790173,2.71761618577275,-1.28997265939194,0.593716600734449,2.95459458713859,-0.481537211800773,-1.00457369295473,1.46891082913258,-1.77491051220581,-3.24351352078842,-0.628488355496175,0.505770245119772,0.0050655603175347,0.00117627693331747,0.173908759838854,0.00316116916400232,0.0207933080776223,0.220414352260699,0.00709490836694554,0.00420528014975603,0.0498902421880914,0.00194644395502994,0.000448162713102572,0.00612529091527322,1,267337,385886,-4.60361774818328,-4.99617648367448,1.06755171219948,-2.12389958503831,-3.34610454126893,-1.24870535664018,4.0075888451647,1.88368926012639,-0.523036481153958,2.46304037216401,-0.3670319542417
"7",26.31,421134,5737,933,145029,2403,17157,184117,5853,3426,41597,1590,383,5102,0.153872892154987,1.0392006680786,1.04137008088646,7.55093984823002,0.222368150949478,2.61070275306702,0.0844803154468536,3.77432115560768,-0.521693491597743,-2.33797999535227,2.70830380520576,-1.39191196046315,0.573776336383811,2.94694150787733,-0.501675566908394,-1.03723651731555,1.45939813206469,-1.80489590098534,-3.22835020701897,-0.638997297497858,0.504677869906443,0.00687509661925482,0.00111808700466529,0.173799614361846,0.00287970318564918,0.0205605774266263,0.220641827479055,0.00701410850836648,0.00410564424221144,0.0498489444084265,0.00190542158351319,0.000458978909739341,0.00611412636420396,1,263906,394427,-4.29601464720542,-5.04628380055803,1.06601735040192,-2.13452746882195,-3.34730110270362,-1.24890567314108,4.10021576566891,1.96568829684696,-0.535560950407156,2.46304037216401,-0.401841099667533
"8",26.51,416859,5589,942,139673,2264,14974,172439,6001,3473,40593,1333,395,5004,0.149188070439129,1.04764540964483,1.04635039039884,9.00204752031669,0.222368150949478,2.61070275306702,0.0844803154468536,3.80075302622945,-0.511194628606721,-2.29174501330006,2.7073089673937,-1.41486184855335,0.474320354914212,2.9180485418493,-0.440068886886906,-0.986976235132345,1.47160062905533,-1.94456296769771,-3.1608645229753,-0.621757416289617,0.514933808006779,0.00690392927332717,0.00116362522373845,0.172533997744395,0.00279665340397436,0.0184969470278764,0.213008885303858,0.00741286089984547,0.00429009596819918,0.0501433531923724,0.00164661616055558,0.000487932020569732,0.0061812957745087,1,275239,396127,-4.31194765483617,-4.99905398069375,1.09344405883575,-2.23298861247949,-3.32906638368331,-1.23570833833836,4.12217081594704,1.88918220346756,-0.546907348245439,2.46304037216401,-0.364095055774838
"9",26.71,423322,5856,1013,139833,2199,14593,171401,5904,3585,41062,1264,324,5352,0.148581223332008,1.05375556144396,1.05175428396215,10.0519894378744,0.222368150949478,2.61070275306702,0.0844803154468536,3.82246180922062,-0.458204532892988,-2.21275508428545,2.71477754389409,-1.43766859797937,0.45487065213361,2.91833453090038,-0.450041222253827,-0.948912835500414,1.48941181005857,-1.99139001382733,-3.35268307274181,-0.548200986726071,0.518962668013554,0.0071790395582733,0.00124186596183929,0.171425313960388,0.00269581762101144,0.0178899802380264,0.210125437043648,0.00723788414481653,0.00439495505744703,0.0503390919299553,0.00154957411230489,0.000397200959166761,0.00656117139956945,1,283807,404863,-4.28066634211361,-4.92753262817954,1.10768426532653,-2.25990689176047,-3.26297853062016,-1.22536573383551,4.15244614187346,1.89253925011298,-0.498871613246588,2.46304037216401,-0.355254308595873
"10",26.91,439795,6778,1091,146443,2488,16724,185432,6061,3373,42328,1238,362,5802,0.137227031117693,1.0555582550786,1.05799259041485,10.3617564737437,0.222368150949478,2.61070275306702,0.0844803154468536,3.7983510979147,-0.374275538152475,-2.2008629044864,2.69867866291082,-1.3764784364604,0.528887202156984,2.93473062668504,-0.486082808368187,-1.07215505525782,1.4574911942645,-2.07446043707493,-3.3040686784937,-0.529754925638123,0.512632370339719,0.00790054958824592,0.00127168775461438,0.170696397661773,0.00290005420117378,0.019493772693099,0.216142624852112,0.00706480245711988,0.00393162492787747,0.0493382211524452,0.00144303340074483,0.000421953223804223,0.006762907747271,1,293650,412659,-4.17262663606717,-4.89954156739722,1.09967243500388,-2.16979146075383,-3.22843358854894,-1.24118746864632,4.07515709937122,1.90536563861739,-0.586072246889635,2.46304037216401,-0.340233004083143
