"","position..mm.","Fe.x","Mn.x","S.x","Ti.x","Al.x","Si.x","K.x","Rb.x","Zr.x","Ca.x","Sr.x","P.x","Ba.x","mean_gray","RABD673","Moving.Average","TChl.ug.g","TNWt","TCWt","TSWt","Fe.y","Mn.y","S.y","Ti.y","Al.y","Si.y","K.y","Rb.y","Zr.y","Ca.y","Sr.y","P.y","Ba.y","Fe","Mn","S","Ti","Al","Si","K","Rb","Zr","Ca","Sr","P","Ba","facies_class","Cr.inc","Cr.coh","Mn_Fe","S_Ti","Fe_Ti","Si_Ti","Mn_Ti","Ba_Ti","Ca_Ti","Ti_Al","Si_Al","Zr_Rb","TCWt_TNWt","Cr.inc_Cr.coh"
"1",350.11,425924,6158,2233,146047,2637,20421,192766,4593,2655,48435,1201,441,5476,0.284429065743945,1.045592491,1.045847199,8.6492829067021,0.227235332131386,3.14520859718323,0.263496935367584,3.71941554620094,-0.517093330894411,-1.5314994075387,2.64908310731542,-1.36520347302557,0.681718402737204,2.92663163768077,-0.810311975053063,-1.35840072570282,1.54537731248163,-2.15169083729887,-3.15355578393201,-0.634470472970517,0.495844523840291,0.00716890942470608,0.00259957368388579,0.170022363551486,0.00306989512064793,0.0237733516339595,0.224410846729927,0.00534699593823888,0.00309085003614723,0.0563861851227085,0.0013981585285924,0.00051339542973293,0.00637495095967692,NA,NA,NA,-4.23650887709535,-4.18058251485411,1.07033243888552,-1.96736470457821,-3.16617643820983,-3.28355358028593,-1.10370579483379,4.01428658034099,2.04692187576277,-0.548088750649754,2.62764930764531,NA
"2",350.31,428152,6355,2246,142829,2709,20149,191072,4793,2706,47576,1457,398,5488,0.284429065743945,1.045592491,1.045847199,8.6492829067021,0.227235332131386,3.14520859718323,0.263496935367584,3.71220901785172,-0.498027350228221,-1.53811839855339,2.61437885565014,-1.35068969176668,0.65588540449999,2.90538106549494,-0.780112734692144,-1.35179772512104,1.51505917753465,-1.97088972765657,-3.26857252856734,-0.644705364446055,0.500218475809938,0.00742467257836505,0.00262404635893122,0.166869954318694,0.00316497844449897,0.0235404764408304,0.223233208323111,0.00559975698947344,0.00316147348498125,0.0555839846716437,0.0017022420057715,0.000464991296017198,0.00641173927774467,NA,NA,NA,-4.21023636807995,-4.15249725420352,1.09783016220159,-1.95849345115015,-3.11240620587836,-3.25908422009619,-1.09931967811548,3.96506854741682,2.00657509626667,-0.571684990428898,2.62764930764531,NA
"3",350.51,430103,5564,2338,143632,2843,20380,194274,4590,3058,47404,1158,403,5197,0.284429065743945,1.045592491,1.045847199,8.6492829067021,0.227235332131386,3.14520859718323,0.263496935367584,3.73234158702106,-0.615365853805175,-1.48238726481649,2.63557134514796,-1.28682329519751,0.682870899928207,2.937586405873,-0.807803103793918,-1.2139220203595,1.52702348545983,-2.18498874871557,-3.24050184490183,-0.683601591840067,0.499571400695051,0.0064626735304503,0.00271562378040848,0.166830827556728,0.00330218922485086,0.0236716906093776,0.225652307234849,0.00533135720790202,0.00355191510713821,0.0550604917393001,0.00134503521715698,0.000468090839822335,0.00603639725696445,NA,NA,NA,-4.34770744082623,-4.11795860996446,1.0967702418731,-1.95270044521975,-3.25093719895314,-3.31917293698803,-1.10854785968813,3.92239464034547,1.96969419512572,-0.406118916565583,2.62764930764531,NA
"4",350.71,428281,5730,2093,144836,2874,20428,196734,4953,2989,48130,1353,508,5289,0.284429065743945,1.045592491,1.045847199,8.6492829067021,0.227235332131386,3.14520859718323,0.263496935367584,3.69565051041724,-0.618413481064531,-1.62553056832732,2.61147305604444,-1.30842422413435,0.652777496994218,2.91772355072561,-0.764135558185079,-1.26919012848938,1.50977667152384,-2.06180466260253,-3.04140284319483,-0.698499819707337,0.495582030969755,0.00663042497205501,0.002421898685255,0.167595851876538,0.00332562676608833,0.0236381014536021,0.227649219276138,0.00573132546013761,0.00345869812242102,0.0556932554808042,0.00156561343580985,0.000587828252321806,0.00612012524907486,NA,NA,NA,-4.31406399148177,-4.23700362437175,1.08417745437281,-1.95869555905022,-3.22988653710897,-3.30997287575177,-1.1016963845206,3.91989728017878,1.96120172112856,-0.5050545703043,2.62764930764531,NA
"5",350.91,424339,6101,2074,143262,2904,20637,198452,4862,2724,47704,1228,402,5201,0.284429065743945,1.045592491,1.045847199,8.6492829067021,0.227235332131386,3.14520859718323,0.263496935367584,3.71758169535895,-0.524498276552685,-1.60347185891506,2.63172415299748,-1.26686187175985,0.694134612489587,2.95759628856121,-0.751501092828468,-1.33084958043513,1.5320642830984,-2.12756413899745,-3.24425415908552,-0.684100053931465,0.493480561467164,0.00709509355847841,0.00241193641047111,0.166605030876042,0.00337717615043785,0.0239995813417995,0.230787658886602,0.00565421158520276,0.0031678470502041,0.0554768633197269,0.00142808963937248,0.00046750165718871,0.00604844805730966,NA,NA,NA,-4.24207997191164,-4.23519601191254,1.08585754236148,-1.93758954050789,-3.15622242955016,-3.31582420692894,-1.09965986989907,3.89858602475733,1.96099648424944,-0.579348487606666,2.62764930764531,NA
"6",351.11,425210,6007,2135,142214,2922,20669,198210,4520,2841,47838,1146,397,5449,0.284429065743945,1.045592491,1.045847199,8.6492829067021,0.227235332131386,3.14520859718323,0.263496935367584,3.72335872308773,-0.536298985579798,-1.57075779476723,2.62810852395841,-1.25695612811931,0.699410551781877,2.96010263326208,-0.820712447603682,-1.28506833857577,1.53859586130059,-2.19294682315527,-3.25304343974277,-0.633792335846861,0.494684477370928,0.00698847547227761,0.00248383471505122,0.165450149960794,0.00339942156317549,0.0240460794966715,0.23059525942403,0.00525851658643163,0.00330518708452484,0.0556541850579019,0.00133324336461298,0.000461865284250743,0.00633930461935088,NA,NA,NA,-4.25965770866753,-4.19886631872565,1.09525019912931,-1.92869797217654,-3.16440750953821,-3.26190085980528,-1.08951266265782,3.88506465207773,1.95636667990119,-0.464355890972089,2.62764930764531,NA
"7",351.31,430197,5743,2177,145025,2824,20518,199748,4750,2899,48036,1283,371,5255,0.284429065743945,1.045592491,1.045847199,8.6492829067021,0.227235332131386,3.14520859718323,0.263496935367584,3.73079082780518,-0.585470693621276,-1.55550463325102,2.64345372584869,-1.29529809587244,0.687850134162086,2.96360415657718,-0.775307797456885,-1.26908656556392,1.538498314295,-2.08425132986994,-3.32500563187814,-0.674272411174521,0.495147474868386,0.00661006921984379,0.00250568007863485,0.166920649243922,0.00325036313369996,0.0236157757709829,0.229905642786933,0.00546714762219363,0.00333668651720828,0.0552884006694091,0.00147670534721567,0.000427013003754492,0.00604839173781632,NA,NA,NA,-4.31626152142646,-4.19895835909972,1.08733710195649,-1.95560359168661,-3.22892441946997,-3.31772613702321,-1.10495541155369,3.93875182172113,1.98314823003453,-0.493778768107032,2.62764930764531,NA
"8",351.51,429263,7005,2158,146725,2682,20263,199499,4779,2747,47901,1243,411,4991,0.284429065743945,1.045592491,1.045847199,8.6492829067021,0.227235332131386,3.14520859718323,0.263496935367584,3.72072488965713,-0.394720715254373,-1.5721630282074,2.64721519140105,-1.35478211018386,0.667451667839849,2.95446432874268,-0.777113575447322,-1.33083548793021,1.52779148598233,-2.12381708251477,-3.23050695952925,-0.733708604555871,0.493594674743321,0.00805480718481902,0.00248140955101205,0.168714002026063,0.00308393902493713,0.0232997227674501,0.229396999081258,0.00549520678604569,0.00315868027647364,0.0550797029207731,0.00142928270245968,0.000472594682792379,0.00573897825259553,NA,NA,NA,-4.1154456049115,-4.21937821960845,1.07350969825607,-1.97976352356121,-3.04193590665543,-3.38092379595693,-1.11942370541872,4.00199730158491,2.02223377802371,-0.553721912482884,2.62764930764531,NA
"9",351.71,430702,6085,1806,143269,2700,19988,197211,4540,2779,48447,1258,369,5076,0.284429065743945,1.045592491,1.045847199,8.6492829067021,0.227235332131386,3.14520859718323,0.263496935367584,3.75985364026078,-0.499736068952448,-1.71444834039715,2.65916118666069,-1.31231102238166,0.68956929809002,2.97871142615396,-0.792635783338682,-1.28347164463157,1.5749076215231,-2.07603963711369,-3.30252143033355,-0.681039245539798,0.498365018571445,0.00704094974717378,0.00208972148617845,0.165776471541141,0.00312416833481828,0.0231281024727214,0.228192726473277,0.00525323120002777,0.00321557918609629,0.0560579938210893,0.00145563102414866,0.000426969672425165,0.00587343646945836,NA,NA,NA,-4.25958970921323,-4.37360952705783,1.10069245360009,-1.96959188857067,-3.15889725561314,-3.34020043220048,-1.08425356513759,3.97147220904234,2.00188032047168,-0.49083586129289,2.62764930764531,NA
"10",351.91,429543,5709,1741,139822,2446,19541,196106,4767,2895,48479,1228,404,4921,0.284429065743945,1.045592491,1.045847199,8.6492829067021,0.227235332131386,3.14520859718323,0.263496935367584,3.76705947151859,-0.553618504326715,-1.74120272052278,2.64470780377798,-1.40120834404386,0.67685244106897,2.98299294805977,-0.733945205086148,-1.23267727028388,1.58546833317678,-2.09027555158389,-3.20200278232982,-0.702150619424996,0.500865203206149,0.0066569341022992,0.00203007922089734,0.163038332466575,0.0028521388709448,0.0227856278320246,0.228667843591783,0.00555852248478898,0.0033756917544502,0.056528552871845,0.00143189964575642,0.000471080990949182,0.00573809296153694,NA,NA,NA,-4.32067797584531,-4.38591052430076,1.12235166774062,-1.96785536270901,-3.19832630810469,-3.34685842320297,-1.0592394706012,4.04591614782183,2.07806078511283,-0.49873206519773,2.62764930764531,NA
