"","position..mm.","Fe.x","Mn.x","S.x","Ti.x","Al.x","Si.x","K.x","Rb.x","Zr.x","Ca.x","Sr.x","P.x","Ba.x","mean_gray","RABD673","Moving.Average","TChl.ug.g","TNWt","TCWt","TSWt","Fe.y","Mn.y","S.y","Ti.y","Al.y","Si.y","K.y","Rb.y","Zr.y","Ca.y","Sr.y","P.y","Ba.y","Fe","Mn","S","Ti","Al","Si","K","Rb","Zr","Ca","Sr","P","Ba","facies_class","Cr.inc","Cr.coh","Mn_Fe","S_Ti","Fe_Ti","Si_Ti","Mn_Ti","Ba_Ti","Ca_Ti","Ti_Al","Si_Al","Zr_Rb","TCWt_TNWt","Cr.inc_Cr.coh"
"1",350.29,393265,8463,1995,157683,2876,20891,209524,4652,2350,61463,1204,463,5947,0.284429065743945,1.045592491,1.045847199,8.6492829067021,0.227235332131386,3.14520859718323,0.263496935367584,3.58905051080257,-0.249729453394906,-1.69478912374105,2.67515351445579,-1.32903273422407,0.653885270134037,2.95940511719055,-0.848135939426457,-1.53101784592681,1.73300219366379,-2.19978382719625,-3.15546139897878,-0.602546283358418,0.451625906088363,0.00971891737944087,0.00229105992815604,0.181083309599713,0.00330280117963747,0.0239912445910314,0.240617564103742,0.00534236129613127,0.0026987422712615,0.0705841686036363,0.00138267476365908,0.000531709647486839,0.00682954054774132,NA,NA,NA,-3.83877996419747,-4.36994263819684,0.913896996346778,-2.02126824432175,-2.9248829678507,-3.27769979781421,-0.942151320792005,4.00418624867986,1.98291800435811,-0.68288190650035,2.62764930764531,NA
"2",350.79,393292,8025,1712,154417,2769,19580,208017,4855,2660,60137,1137,327,5709,0.284429065743945,1.045592491,1.045847199,8.6492829067021,0.227235332131386,3.14520859718323,0.263496935367584,3.63819463008158,-0.253796039426387,-1.79869543072292,2.70329902671419,-1.31787146425364,0.638150928659898,3.0012620986883,-0.756348606699178,-1.35803158564886,1.76026758426877,-2.20796449367407,-3.45415281652735,-0.594313831460345,0.455918306309606,0.00930287015279892,0.00198461229926377,0.179005769518349,0.00320992491627417,0.0226978439366732,0.241140827485953,0.00562809153792383,0.00308356817525796,0.0697129847201082,0.00131805150949936,0.000379070223048629,0.00661807921524349,NA,NA,NA,-3.89199066950797,-4.50199445743711,0.93489560336739,-2.06514809805429,-2.95709506614058,-3.29761285817454,-0.943031442445426,4.02117049096783,1.95602239291354,-0.601682978949681,2.62764930764531,NA
"3",351.29,394907,7730,1579,151763,2733,19611,209087,4632,2618,61372,1166,428,5926,0.284429065743945,1.045592491,1.045847199,8.6492829067021,0.227235332131386,3.14520859718323,0.263496935367584,3.6306686383299,-0.302872793212851,-1.89118992053868,2.67433843767401,-1.34258174886625,0.62810897748652,2.99476877747975,-0.814992915541488,-1.38557098832447,1.76897204927078,-2.19440256788388,-3.19661373921252,-0.568632206660808,0.45730540835989,0.00895140072630253,0.00182849440450604,0.17574274623879,0.00316483547024383,0.022709692062551,0.242124388571852,0.00536389238864596,0.00303166456681242,0.0710692581338472,0.00135023716000889,0.000495627362336026,0.0068623545542133,NA,NA,NA,-3.93354143154275,-4.56552835821269,0.956330200655887,-2.04622946018749,-2.97721123088687,-3.24297064433482,-0.905366388403237,4.01692018654027,1.97069072635277,-0.570578072782986,2.62764930764531,NA
"4",351.79,411556,7568,1162,150574,2721,18598,207536,4970,2580,61250,1412,428,5582,0.284429065743945,1.045592491,1.045847199,8.6492829067021,0.227235332131386,3.14520859718323,0.263496935367584,3.68533549434838,-0.310680772244913,-2.18446694556477,2.67984505370454,-1.33361014419338,0.588444444061515,3.00069521460383,-0.731189763885953,-1.38682020506096,1.78035424543035,-1.98960246492344,-3.18324168739483,-0.61506246888036,0.469846575724053,0.00863989076840001,0.00132657942294937,0.171900490560394,0.00310638778816285,0.0212321205748815,0.23693028151568,0.00567392403791597,0.00294541730740909,0.0699251201855841,0.00161198807676808,0.000488619615337633,0.00637260442246417,NA,NA,NA,-3.9960162665933,-4.86431199926931,1.00549044064384,-2.09140060964303,-2.99052582594945,-3.2949075225849,-0.899490808274196,4.01345519789792,1.9220545882549,-0.655630441175011,2.62764930764531,NA
"5",352.29,422658,8208,992,153367,2499,18898,198000,4500,2378,64012,1187,438,5776,0.284429065743945,1.045592491,1.045847199,8.6492829067021,0.227235332131386,3.14520859718323,0.263496935367584,3.74281719612556,-0.198636856833002,-2.31177831695868,2.72908759667009,-1.3878554934086,0.635309951099019,2.98452088543312,-0.799668748485141,-1.43748634699283,1.85532442052233,-2.13231702963388,-3.12928251386711,-0.55003474367089,0.478708547727806,0.00929649920207314,0.00112355350980221,0.173705676550238,0.0028304034485844,0.0214041474075022,0.224257656190361,0.00509676491341729,0.00269335710313474,0.0725009145861484,0.00134441332271696,0.000496085118239283,0.00654198091997739,NA,NA,NA,-3.94145405295856,-5.04086591362877,1.01372959945547,-2.09377764557107,-2.92772445350309,-3.27912234034098,-0.873763176147764,4.11694309007869,2.02316544450762,-0.637817598507684,2.62764930764531,NA
"6",352.79,423269,7170,1136,152777,2579,18710,190681,4483,2722,64762,1179,519,5738,0.284429065743945,1.045592491,1.045847199,8.6492829067021,0.227235332131386,3.14520859718323,0.263496935367584,3.72264081121865,-0.355461444902029,-2.1978537792146,2.70361224232884,-1.37796537261435,0.60369104077244,2.92523477519782,-0.825074634340256,-1.32400019528428,1.84535191208027,-2.16070047795832,-2.98121849532981,-0.578256381954385,0.48333552199606,0.00818750178423592,0.00129721088241172,0.174457735019555,0.00294498843815125,0.0213651545862,0.217740729110166,0.00511918695937652,0.00310828170944075,0.0739524394073482,0.00134631305489737,0.000592651802791972,0.00655228524936481,NA,NA,NA,-4.07810225612068,-4.90146602154344,1.0190285688898,-2.0999212015564,-3.05907368723087,-3.28186862428323,-0.858260330248574,4.0815776149432,1.98165641338679,-0.498925560944028,2.62764930764531,NA
"7",353.29,423451,8080,918,151046,2406,17649,187160,4484,2484,62631,1492,434,5487,0.284429065743945,1.045592491,1.045847199,8.6492829067021,0.227235332131386,3.14520859718323,0.263496935367584,3.75106093793163,-0.207984994454089,-2.38293475534874,2.72020755919737,-1.41941124943461,0.573302257563335,2.93458699901092,-0.79686136177718,-1.38750670291586,1.83988349621184,-1.89725936520552,-3.13208761186883,-0.594995208910255,0.488003070107707,0.00931173809123198,0.00105794252076126,0.174071880164384,0.00277277745637428,0.0203394635609101,0.215691200637992,0.00516755366350052,0.00286266799735399,0.0721786470782117,0.00171944470694531,0.000500160189553797,0.00632345382507301,NA,NA,NA,-3.95904593238572,-5.10314231454611,1.03085337873426,-2.14690530163403,-2.92819255365146,-3.31520276810762,-0.880324062985529,4.13961880863197,1.99271350699794,-0.590645341138681,2.62764930764531,NA
"8",353.79,423897,8480,1010,150005,2410,17852,188715,4378,2855,63656,1260,390,5644,0.284429065743945,1.045592491,1.045847199,8.6492829067021,0.227235332131386,3.14520859718323,0.263496935367584,3.74879405605087,-0.162985995338028,-2.29074611428867,2.70997218173221,-1.42106969763928,0.581419101625184,2.93954149532936,-0.824104446041169,-1.25162460203387,1.85279714093339,-2.06958472417845,-3.24230498500028,-0.570103411151272,0.486928982990103,0.00974094597450813,0.00116018342385061,0.172310212371001,0.00276835846681186,0.0205065291906744,0.21677625230888,0.00502899309863167,0.00327952839118169,0.0731214218105294,0.00144735753866512,0.000447991619110633,0.00648324281605234,NA,NA,NA,-3.9117800513889,-5.00071829602088,1.03882187431867,-2.12855308010702,-2.87295817707023,-3.28007559288348,-0.857175040798812,4.13104187937148,2.00248879926446,-0.427520155992698,2.62764930764531,NA
"9",354.29,434581,8087,1014,154907,2542,19060,193077,4523,2560,66446,1004,453,5837,0.284429065743945,1.045592491,1.045847199,8.6492829067021,0.227235332131386,3.14520859718323,0.263496935367584,3.76769632239805,-0.216428191993208,-2.2927831209379,2.73613891074032,-1.37373485333963,0.640905872119163,2.95640304696369,-0.797510535611187,-1.36667876761542,1.88970356160471,-2.30269400483736,-3.098549179606,-0.542469059885239,0.486059025311741,0.0090449406156644,0.00113411274691279,0.17325641349706,0.00284311104798057,0.0213177405879267,0.215947817392189,0.00505876918568692,0.00286324322691985,0.0743168200999675,0.00112292820305763,0.000506659836638552,0.00652841824825437,NA,NA,NA,-3.98412451439126,-5.02892203167822,1.03155741165773,-2.09523303862116,-2.95256710273353,-3.27860797062556,-0.846435349135606,4.10987376407995,2.01464072545879,-0.569168232004235,2.62764930764531,NA
"10",354.79,438651,8489,1004,159996,2729,19652,197117,4371,2872,66820,1203,405,5700,0.284429065743945,1.045592491,1.045847199,8.6492829067021,0.227235332131386,3.14520859718323,0.263496935367584,3.75132354880908,-0.19360935172876,-2.32838853821505,2.74276825543673,-1.32844531775839,0.645798554821811,2.95141690158891,-0.857388743603413,-1.27737190829861,1.86962187744402,-2.14756212249205,-3.23624877136019,-0.591914384644086,0.482559578618034,0.009338741420602,0.00110449951540634,0.176011458632423,0.00300217049556165,0.0216191478852245,0.216848238026246,0.00480853324884572,0.00315948466956873,0.0735086231269437,0.00132341924007353,0.000445540143166899,0.00627056497790451,NA,NA,NA,-3.94493290053784,-5.07115679365178,1.00855529337235,-2.09696970061492,-2.93637760716549,-3.33468264008082,-0.873146377992711,4.07121357319512,1.9742438725802,-0.4199831646952,2.62764930764531,NA
