"","position..mm.","Fe.x","Mn.x","S.x","Ti.x","Al.x","Si.x","K.x","Rb.x","Zr.x","Ca.x","Sr.x","P.x","Ba.x","mean_gray","RABD673","Moving.Average","TChl.ug.g","TNWt","TCWt","TSWt","Fe.y","Mn.y","S.y","Ti.y","Al.y","Si.y","K.y","Rb.y","Zr.y","Ca.y","Sr.y","P.y","Ba.y","Fe","Mn","S","Ti","Al","Si","K","Rb","Zr","Ca","Sr","P","Ba","facies_class","Cr.inc","Cr.coh","Mn_Fe","S_Ti","Fe_Ti","Si_Ti","Ba_Ti","Ca_Ti","Ti_Al","Si_Al","Zr_Rb","TCWt_TNWt","Cr.inc_Cr.coh"
"542",133.31,450606,7402,1436,144041,2516,18964,178753,4604,3378,49062,1086,387,5295,0.191862419779387,1.02627975899127,1.02771841691558,5.33066701217938,0.217067765206099,2.6359758450985,0.0371569109745324,3.80807422763139,-0.300768881893365,-1.9406576452313,2.66757886541521,-1.37984877701913,0.640023329182543,2.88348584879273,-0.775593624997693,-1.08523529747172,1.59056568855057,-2.22001789434559,-3.25184970180968,-0.635756136803959,0.519412585155557,0.00853226977741404,0.001655274169193,0.166035756688529,0.00290018788975597,0.0218597627747744,0.206048205825735,0.0053070210828444,0.00389381347042754,0.0565536638502415,0.00125182990789944,0.000446094083201734,0.00610353532442682,2,267078,393667,-4.10884310952476,-4.60823651064651,1.14049536221618,-2.02755553623267,-3.30333500221917,-1.07701317686465,4.04742764243435,2.01987210620168,-0.309641672474028,2.49679914526615,-0.387964623700306
"543",133.51,452490,6359,1238,146350,2552,19425,178538,4530,3415,50277,1006,345,4967,0.183169259160693,1.03135624179767,1.03138260517467,6.20298774453279,0.217204413026571,2.6429791572094,0.0371187424696982,3.84911880936923,-0.415775721793772,-2.05214967981664,2.72035415905885,-1.3287694885965,0.700914042174669,2.91915460963788,-0.7549249145841,-1.03746936105629,1.6519008619918,-2.25966478240149,-3.32985771602982,-0.662830817953829,0.51921302777306,0.00729668201199782,0.00142055234012475,0.167930399820079,0.00292831144749464,0.0222893612333791,0.204864760663322,0.00519798231079574,0.00391856723871246,0.0576907189050502,0.00115434220853433,0.000395872824994377,0.00569942122245528,2,265389,395714,-4.264894531163,-4.77250383887549,1.12876465031038,-2.01944011688418,-3.38318497701268,-1.06845329706705,4.04912364765535,2.02968353077117,-0.282544446472189,2.49882312288289,-0.399495053937633
"544",133.71,450634,6364,1089,146777,2281,19647,174817,4606,2879,49990,1254,362,5389,0.204660810930687,1.03732001068996,1.03427194255895,7.22777585986781,0.217341060847044,2.6499824693203,0.037080573964864,3.84965715811235,-0.41034121151263,-2.17573847803735,2.727916106168,-1.43638437868592,0.716926332915856,2.90274139050898,-0.733638520589676,-1.20355531035813,1.65082466343731,-2.03465987977744,-3.27710938914454,-0.57663848303681,0.520309113728497,0.00734797463078275,0.00125737655137059,0.169471035886612,0.00263367852495529,0.0226847356334049,0.201846461506843,0.00531816014289524,0.00332413874324694,0.0577192413250832,0.0014478881500631,0.000417970901373877,0.00622222427487244,2,262462,391355,-4.25999836962498,-4.90365458420535,1.12174105194435,-2.01098977325214,-3.30455458920481,-1.07709144273069,4.16430048485392,2.15331071160178,-0.469916789768455,2.50084047493643,-0.399508766808541
"545",133.91,453407,6491,1127,146296,2380,19155,174211,4494,3138,50280,1225,358,5355,0.211414109366222,1.03922786807424,1.03530963687045,7.5556137772111,0.217477708667517,2.6569857814312,0.0370424054600298,3.84832749057393,-0.398046084235036,-2.14890345122873,2.71716928028596,-1.40136219860298,0.684101091866245,2.89180452194784,-0.76571951252323,-1.12487703197553,1.64914469743568,-2.06552184228968,-3.2956849788678,-0.590431982386656,0.522408248715027,0.00747882574024936,0.00129851126317378,0.168559896856497,0.00274219769862786,0.0220700827383264,0.200723110620025,0.00517791447799732,0.00361555310012363,0.0579318068432811,0.00141142528605846,0.000412481838701166,0.00616994482191269,2,262696,393081,-4.24637357480896,-4.86607273151469,1.13115821028796,-2.03306818841972,-3.30760126267262,-1.06802458285029,4.11853147888895,2.08546329046923,-0.359157519452297,2.50285123799209,-0.403018227420917
"546",134.11,463390,6391,1140,148963,2350,19754,177635,4756,3132,51101,1094,357,5131,0.219310603613966,1.03565218575109,1.03442804983261,6.94118407425741,0.217614356487989,2.6639890935421,0.0370042369551957,3.87120804642645,-0.412470235042003,-2.13633272330374,2.73633696725061,-1.41294565755408,0.715995016775788,2.91236989750384,-0.707954006881613,-1.12568920758159,1.66644308077966,-2.17752028171036,-3.29738048291265,-0.63206041375032,0.523489766085175,0.00721988626222048,0.00128785328413884,0.168282884881732,0.00265478527870727,0.022316012083227,0.200673524673687,0.0053728335257582,0.00353820744379198,0.0577285883094553,0.00123588727442798,0.000403301423190849,0.00579646947448808,2,272142,393538,-4.28367828146846,-4.87266969055435,1.13487107917584,-2.02034195047482,-3.36839738100093,-1.06989388647096,4.14928262480469,2.12894067432987,-0.417735200699979,2.50485544832343,-0.368853643551037
"547",134.31,468268,6996,1159,151801,2533,20190,181894,4693,3066,51787,1212,382,5307,0.228627242776454,1.02981401824891,1.03241528308734,5.93797875566914,0.217751004308462,2.670992405653,0.0369660684503615,3.8478813854566,-0.355820838976144,-2.15360183177488,2.72141105642262,-1.37175502511296,0.704028036192247,2.90226470369088,-0.755087359320219,-1.18078561568288,1.64597975638492,-2.10888750848538,-3.26349406650806,-0.632132692286741,0.520709717020576,0.00777948777254895,0.001288797359689,0.168801318376315,0.00281667274554981,0.0224510946437626,0.202264458104634,0.00521857291546201,0.00340936385229204,0.0575866685644643,0.0013477328731174,0.00042478049301225,0.00590133527857594,2,271997,401136,-4.20370222443274,-4.8750128881975,1.12647032903398,-2.01738302023037,-3.35354374870936,-1.07543130003769,4.09316608153558,2.07578306130521,-0.425698256362658,2.50685314191533,-0.388509485103782
"548",134.51,458279,6090,1135,146755,2411,19780,176544,4752,2808,50611,1388,436,5317,0.253587536154731,1.02820956572489,1.0302139805837,5.66227661027599,0.217887652128935,2.6779957177639,0.0369278999455273,3.83734943303271,-0.483480654196434,-2.16349608498487,2.6986357937598,-1.41008713671921,0.694542590276327,2.88344140117178,-0.731563153857895,-1.25765624975467,1.63404020805346,-1.96226487383363,-3.12024177155134,-0.619219501396038,0.522966863173366,0.00694962718502441,0.00129520966420406,0.16747003900464,0.0027513220267806,0.0225720239277147,0.201463872209023,0.00542276328131954,0.00320436012077973,0.0577549394846093,0.0015839215981632,0.000497543095676624,0.00606751522869865,2,266904,391542,-4.32083008722914,-4.86213187874467,1.13871363927291,-2.00409320348347,-3.31785529515584,-1.06459558570634,4.10872293047901,2.10462972699553,-0.526093095896779,2.50884435446703,-0.383203746185639
"549",134.71,436840,4897,1182,138805,2315,17929,163920,4774,3023,48487,1209,400,5326,0.244814420489164,1.02876968635662,1.02855625990684,5.75852530416738,0.218024299949408,2.6849990298748,0.0368897314406931,3.84183555269603,-0.649108669913316,-2.07052352364959,2.69533862784515,-1.3983217550953,0.648688070979794,2.86164706129715,-0.674546914716858,-1.13148172683618,1.64356427814336,-2.04793787100084,-3.15402217450765,-0.565130955241756,0.526880125243183,0.00590635466833593,0.00142563022625548,0.167415062229604,0.00279216072231931,0.0216244706654268,0.197706689245176,0.00575800228438549,0.00364609151774138,0.0584809922000417,0.00145819538370801,0.000482446777074612,0.00642377883674845,2,264008,373617,-4.49094422260935,-4.76586215149474,1.14649692485088,-2.04665055686535,-3.2604695830869,-1.05177434970179,4.09366038294045,2.04700982607509,-0.456934812119317,2.51082912139511,-0.347251802813948
"550",134.91,436402,4941,1225,139633,2633,18810,167103,4618,3327,48308,1082,448,4830,0.243218906337829,1.02726622649782,1.028232144,5.500177299237,0.21816094776988,2.6920023419857,0.036851562935859,3.82475319279755,-0.656242904238667,-2.05086980010559,2.68520690797517,-1.28568676358811,0.680577999210659,2.86479974465927,-0.723848933169977,-1.05173964706594,1.62378653431085,-2.17499946367799,-3.05677269066943,-0.678964176437799,0.523665642699434,0.00592901027167131,0.00146995296150523,0.167554238264376,0.00315949889603533,0.022571277719113,0.20051718345013,0.00554142267447442,0.00399227224728809,0.057967745032159,0.00129835845252952,0.000537582797350485,0.00579581453393491,2,255527,368780,-4.48099609703622,-4.73607670808076,1.13954628482239,-2.00462890876451,-3.36417108441297,-1.06142037366432,3.97089367156327,1.96626476279877,-0.327890713895964,2.51280747783645,-0.366872181069713
"551",135.11,445103,6469,1251,145849,2601,20728,177532,4522,3098,51136,1218,371,5314,0.23255052672052,1.02801268666667,1.028167289,5.62844576896231,0.218297595590353,2.6990056540966,0.0368133944310248,3.80687677029881,-0.424407408696853,-2.06748571427393,2.69114289417225,-1.33553295929219,0.740056497501108,2.88772192859812,-0.782474571902923,-1.16067220376402,1.64305980438511,-2.094218776471,-3.2829821621334,-0.621084098421079,0.514455750862236,0.00747695309249276,0.00144592183006778,0.16857414308038,0.00300626912870207,0.0239576880045123,0.205193760460106,0.00522658554401798,0.00358070809716225,0.0591036440466394,0.00140778000721227,0.000428806553920979,0.00614198929255009,2,248199,372083,-4.23128417899566,-4.75862860844618,1.11573387612656,-1.95108639667114,-3.31222699259333,-1.04808308978714,4.02667585346444,2.07558945679329,-0.378197631861101,2.51477945865114,-0.404886103912008
